t0,X_Hash0,X_Hash1,MUL
t1,Y_Hash0,Y_Hash1,MUL
t2,Z_Hash0,Z_Hash1,MUL
t3,X_Hash0,Y_Hash0,ADD
t4,X_Hash1,Y_Hash1,ADD
t5,t3,t4,MUL
t6,t0,t1,ADD
t7,t5,t6,SUB
t8,X_Hash0,Z_Hash0,ADD
t9,X_Hash1,Z_Hash1,ADD
t10,t8,t9,MUL
t11,t0,t2,ADD
t12,t10,t11,SUB
t13,Y_Hash0,Z_Hash0,ADD
t14,Y_Hash1,Z_Hash1,ADD
t15,t13,t14,MUL
t16,t1,t2,ADD
t17,t15,t16,SUB
t18,A_,t12,MUL
t19,B3_,t2,MUL
t20,t19,t18,ADD
t21,t1,t20,SUB
t22,t1,t20,ADD
t23,t21,t22,MUL
t24,t0,t0,ADD
t25,t0,t24,ADD
t26,A_,t2,MUL
t27,B3_,t12,MUL
t28,t25,t26,ADD
t29,t0,t26,SUB
t30,A_,t29,MUL
t31,t27,t30,ADD
t32,t28,t31,MUL
Y_Hash0_new,t23,t32,ADD
t33,t17,t31,MUL
t34,t7,t21,MUL
X_Hash0_new,t34,t33,SUB
t35,t7,t28,MUL
t36,t17,t22,MUL
Z_Hash0_new,t36,t35,ADD
